Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2024-01-14,Bochum,Werder Bremen,D,13,15,4,4,14,14,3,4,6,5,0,0
2024-01-14,M'gladbach,Stuttgart,H,8,14,4,2,7,11,0,3,3,3,0,0
2024-01-20,Bochum,Stuttgart,H,6,17,1,4,16,16,1,7,5,3,0,0
2024-01-20,FC Koln,Dortmund,A,16,11,5,7,16,7,13,4,2,2,0,0
2024-01-20,RB Leipzig,Leverkusen,A,11,18,6,5,11,11,1,9,2,3,0,0
2024-01-20,Darmstadt,Ein Frankfurt,D,13,7,3,4,11,7,4,1,1,1,0,0
2024-01-20,Freiburg,Hoffenheim,H,16,16,8,4,18,10,2,2,3,3,1,0
2024-01-20,Heidenheim,Wolfsburg,D,12,12,3,3,11,10,4,2,0,1,0,0
2024-01-21,Bayern Munich,Werder Bremen,A,21,8,6,3,12,7,10,2,2,1,0,0
2024-01-21,M'gladbach,Augsburg,A,18,15,4,7,10,20,5,7,1,2,0,0
2024-01-24,Bayern Munich,Union Berlin,H,24,4,10,1,5,9,12,1,2,4,0,0
2024-01-26,Ein Frankfurt,Mainz,H,13,7,4,0,10,12,2,1,2,1,0,0
2024-01-27,Leverkusen,M'gladbach,D,28,4,8,3,15,6,8,2,3,1,0,0
2024-01-27,Wolfsburg,FC Koln,D,12,6,5,2,17,12,6,3,5,3,0,0
2024-01-27,Werder Bremen,Freiburg,H,14,7,4,4,14,10,5,5,2,1,0,0
2024-01-27,Augsburg,Bayern Munich,A,14,13,7,4,12,11,4,5,2,6,0,0
2024-01-27,Stuttgart,RB Leipzig,H,19,4,11,2,9,11,9,3,1,4,0,0
2024-01-27,Hoffenheim,Heidenheim,D,20,15,8,3,11,13,9,5,4,0,0,0
2024-01-28,Union Berlin,Darmstadt,H,19,15,6,1,13,9,4,3,3,2,0,0
2024-01-28,Dortmund,Bochum,H,15,10,6,4,10,16,8,4,1,3,0,0
2024-02-02,Heidenheim,Dortmund,D,11,13,0,5,7,7,4,6,0,2,0,0
2024-02-03,Mainz,Werder Bremen,A,20,6,5,1,22,16,11,1,4,3,0,0
2024-02-03,FC Koln,Ein Frankfurt,H,14,11,4,4,8,13,7,7,1,4,0,2
2024-02-03,Darmstadt,Leverkusen,A,8,18,6,7,14,8,4,3,2,2,0,0
2024-02-03,Bochum,Augsburg,D,9,12,4,6,17,14,3,5,3,1,0,0
2024-02-03,Bayern Munich,M'gladbach,H,21,11,6,4,11,9,6,5,0,1,0,0
2024-02-03,Freiburg,Stuttgart,A,7,17,4,9,10,7,1,6,4,2,1,0
2024-02-04,Wolfsburg,Hoffenheim,D,14,17,8,7,12,16,7,2,2,3,0,0
2024-02-04,RB Leipzig,Union Berlin,H,16,10,6,2,13,11,5,4,1,2,0,1
2024-02-07,Mainz,Union Berlin,D,16,15,7,4,14,15,8,3,2,4,0,0
2024-02-09,Dortmund,Freiburg,H,17,6,8,3,13,7,5,3,2,0,0,0
2024-02-10,Leverkusen,Bayern Munich,H,14,8,8,1,13,13,4,6,3,2,0,0
2024-02-10,Werder Bremen,Heidenheim,A,14,10,3,3,10,13,5,10,1,2,0,0
2024-02-10,M'gladbach,Darmstadt,D,22,10,8,1,11,15,7,2,0,5,0,0
2024-02-10,Ein Frankfurt,Bochum,D,8,14,2,5,6,12,8,3,2,2,0,0
2024-02-10,Augsburg,RB Leipzig,D,11,9,4,6,15,10,1,3,5,1,0,0
2024-02-10,Union Berlin,Wolfsburg,H,7,15,2,5,12,9,6,10,1,2,0,0
2024-02-11,Stuttgart,Mainz,H,10,16,7,6,7,9,4,5,1,1,0,0
2024-02-11,Hoffenheim,FC Koln,D,10,5,4,1,12,13,10,3,3,4,0,0
2024-02-16,FC Koln,Werder Bremen,A,10,13,2,4,16,11,5,3,4,4,0,0
2024-02-17,RB Leipzig,M'gladbach,H,16,13,9,0,12,13,8,4,1,5,0,0
2024-02-17,Wolfsburg,Dortmund,D,9,12,4,5,18,5,5,3,3,1,0,0
2024-02-17,Heidenheim,Leverkusen,A,6,17,3,4,15,5,4,5,2,1,0,0
2024-02-17,Hoffenheim,Union Berlin,A,16,10,4,3,10,7,6,2,3,4,1,1
2024-02-17,Mainz,Augsburg,H,19,10,4,4,8,16,7,7,3,2,0,1
2024-02-17,Darmstadt,Stuttgart,A,21,13,9,4,15,14,5,3,4,5,0,1
2024-02-18,Freiburg,Ein Frankfurt,D,13,10,8,6,8,10,6,1,0,0,0,0
2024-02-18,Bochum,Bayern Munich,H,14,26,5,10,12,10,4,9,2,4,0,1
2024-02-23,Leverkusen,Mainz,H,18,13,7,4,14,16,11,2,3,5,0,1
2024-02-24,M'gladbach,Bochum,H,22,15,6,5,13,13,5,6,2,4,0,0
2024-02-24,Stuttgart,FC Koln,D,13,12,5,6,11,13,9,4,1,0,0,0
